Join_Count,TARGET_FID,F_id,F_version,F_created_at,F_updated_at,borocode,boroname,countyfips,nta2020,ntaname,ntaabbrev,ntatype,cdta2020,cdtaname,shape_leng,Unique_Key,Created_Date,Closed_Date,Agency,Agency_Name,Problem__formerly_Complaint_Type_,Problem_Detail__formerly_Descriptor_,Location_Type,Incident_Zip,Incident_Address,Street_Name,Cross_Street_1,Cross_Street_2,Intersection_Street_1,Intersection_Street_2,Address_Type,City,Landmark,Facility_Type,Status,Due_Date,Resolution_Action_Updated_Date,Community_Board,Borough,X_Coordinate__State_Plane_,Y_Coordinate__State_Plane_,Park_Facility_Name,Park_Borough,Vehicle_Type,Taxi_Company_Borough,Taxi_Pick_Up_Location,Bridge_Highway_Name,Bridge_Highway_Direction,Road_Ramp,Bridge_Highway_Segment,Latitude,Longitude,Location,Shape_Length,Shape_Area
21,1,row-9rke~8csg~x32h,rv-iaad~hgin.v282,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0101,Greenpoint,Grnpt,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),28919.5611508,66889709,2025 Nov 19 05:46:10 PM,2025 Nov 08 05:36:20 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11222,188 GREENPOINT AVENUE,GREENPOINT AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,,2025 Nov 19 12:00:00 AM,01 BROOKLYN,BROOKLYN,997311,205354,Unspecified,BROOKLYN,,,,,,,,40.730316328930002,-73.952874698309998,POINT (-73.95287469831 40.730316328928),0.091898542821613,0.000349798739240
31,2,row-6kev-zxyi-52cf,rv-98sh-9jt9.2bdr,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0102,Williamsburg,Wllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),28134.0826611,67952268,2026 Feb 11 11:15:08 PM,2026 Feb 12 03:45:36 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11249,110 BROADWAY,BROADWAY,,,,,ADDRESS,BROOKLYN,,,Closed,,2026 Feb 12 12:00:00 AM,01 BROOKLYN,BROOKLYN,994020,198093,Unspecified,BROOKLYN,,,,,,,,40.710390882939997,-73.964759470280001,POINT (-73.964759470277 40.710390882939),0.089364085830383,0.000285673383682
20,3,row-8yxz.4kik-hwrr,rv-gady.m6h7-vken,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0103,South Williamsburg,SWllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),18250.2800908,66346611,2025 Oct 02 03:02:33 PM,2025 Oct 02 07:24:07 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11206,112 WALTON STREET,WALTON STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,2025 Oct 02 12:00:00 AM,01 BROOKLYN,BROOKLYN,998622,195378,Unspecified,BROOKLYN,,,,,,,,40.702932571639998,-73.948165788590003,POINT (-73.948165788589 40.702932571638),0.061803032061546,0.000150558761777
36,4,row-qcbs_gztc_ygrg,rv-9tne-mmrz~t5xd,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0104,East Williamsburg,EWllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),43184.8003755,67998508,2026 Feb 14 09:34:08 PM,2026 Feb 20 06:09:08 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11206,228 BUSHWICK AVENUE,BUSHWICK AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,2026 Feb 20 12:00:00 AM,01 BROOKLYN,BROOKLYN,1000913,197210,Unspecified,BROOKLYN,,,,,,,,40.707956961290002,-73.939898512149995,POINT (-73.93989851215 40.707956961286),0.138497115437962,0.000517491076271
14,5,row-97cj-vr4j.5jqt,rv-ucv6~gvar~a2pc,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0201,Brooklyn Heights,BkHts,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),14312.1922849,66624368,2025 Oct 26 12:17:54 AM,2026 Jan 10 01:15:06 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11201,180 MONTAGUE STREET,MONTAGUE STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,2026 Jan 10 12:00:00 AM,02 BROOKLYN,BROOKLYN,986536,192148,Unspecified,BROOKLYN,,,,,,,,40.694078350749997,-73.991756382909998,POINT (-73.991756382915 40.694078350755),0.044413102281744,0.000098804716892
15,6,row-uzr2.hf8y_src6,rv-9wzy_i5wk~zfva,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,DwntwnBk,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),30589.2394455,67986192,2026 Feb 13 01:40:49 AM,2026 Feb 14 05:26:34 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11201,90 SANDS STREET,SANDS STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,2026 Feb 14 12:00:00 AM,02 BROOKLYN,BROOKLYN,987794,194331,Unspecified,BROOKLYN,,,,,,,,40.700069763469997,-73.987218720650006,POINT (-73.987218720651 40.700069763466),0.096348172986953,0.000234896995802
47,7,row-uucn-pny8_d7ni,rv-uqk2.5bw2~khh4,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0203,Fort Greene,FtGrn,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),23284.5901371,67986193,2026 Feb 13 04:37:42 AM,2026 Feb 19 06:50:50 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11217,142 SOUTH PORTLAND AVENUE,SOUTH PORTLAND AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,2026 Feb 19 12:00:00 AM,02 BROOKLYN,BROOKLYN,991413,188820,Unspecified,BROOKLYN,,,,,,,,40.684941153129998,-73.974172817680000,POINT (-73.974172817684 40.68494115313),0.074924833810085,0.000173540839553
13,8,row-zavp~vjjw_w7sd,rv-8ety_mtip-9qw9,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0204,Clinton Hill,ClntnHl,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),18102.9682007,67810823,2026 Feb 01 08:43:44 PM,2026 Feb 04 08:09:27 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11238,348 LAFAYETTE AVENUE,LAFAYETTE AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,2026 Feb 04 12:00:00 AM,02 BROOKLYN,BROOKLYN,994947,190194,Unspecified,BROOKLYN,,,,,,,,40.688708902510001,-73.961428314230005,POINT (-73.961428314229 40.688708902513),0.054876905248038,0.000144169392525
0,9,row-3t7n.33gv~q8zu,rv-j2cp-fk2z-38v4,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0261,Brooklyn Navy Yard,BkNvyYrd,6,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),39415.6419363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124518207568569,0.000100048525902
86,10,row-n8p3.csnm~y3wc,rv-xbsi-x95y-kfuh,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0301,Bedford-Stuyvesant (West),BdSty_W,0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),26307.6457389,67991582,2026 Feb 14 12:38:13 AM,2026 Feb 17 12:19:31 PM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11216,143 HALSEY STREET,HALSEY STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,2026 Feb 17 12:00:00 AM,03 BROOKLYN,BROOKLYN,998705,187766,Unspecified,BROOKLYN,,,,,,,,40.682039259000000,-73.947882773819998,POINT (-73.947882773821 40.682039259002),0.082270453726697,0.000365274209052
