Join_Count,TARGET_FID,F_id,F_version,F_created_at,F_updated_at,borocode,boroname,countyfips,nta2020,ntaname,ntaabbrev,ntatype,cdta2020,cdtaname,shape_leng,area_km2,Unique_Key,Created_Date,Closed_Date,Agency,Agency_Name,Problem__formerly_Complaint_Type_,Problem_Detail__formerly_Descriptor_,Additional_Details,Location_Type,Incident_Zip,Incident_Address,Street_Name,Cross_Street_1,Cross_Street_2,Intersection_Street_1,Intersection_Street_2,Address_Type,City,Landmark,Facility_Type,Status,Due_Date,Resolution_Description,Resolution_Action_Updated_Date,Community_Board,Council_District,Police_Precinct,BBL,Borough,X_Coordinate__State_Plane_,Y_Coordinate__State_Plane_,Open_Data_Channel_Type,Park_Facility_Name,Park_Borough,Vehicle_Type,Taxi_Company_Borough,Taxi_Pick_Up_Location,Bridge_Highway_Name,Bridge_Highway_Direction,Road_Ramp,Bridge_Highway_Segment,Latitude,Longitude,Location,Shape_Length,Shape_Area
1509,1,row-9rke~8csg~x32h,rv-iaad~hgin.v282,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0101,Greenpoint,Grnpt,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),28919.5611508,3.281529921409245,67983381,02/13/2026 01:14:46 PM,02/13/2026 11:02:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,DIMS OR FLICKERS,RESIDENTIAL BUILDING,11222,137 BAYARD STREET,BAYARD STREET,NORMAN AVE,MESEROLE AVE,CALYER STREET,GREENPOINT AVENUE,ADDRESS,BROOKLYN,MCGUINNESS BOULEVARD,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,01 BROOKLYN,33,Precinct 94,3027190032,BROOKLYN,999047,201531,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.719820390199999,-73.946619456169998,POINT (-73.946619456166 40.719820390203),0.091898542821613,0.000349798739240
1547,2,row-6kev-zxyi-52cf,rv-98sh-9jt9.2bdr,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0102,Williamsburg,Wllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),28134.0826611,2.680535764498503,67979477,02/13/2026 05:14:48 PM,02/13/2026 11:17:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,PIPE LEAKING,RESIDENTIAL BUILDING,11211,457 KEAP STREET,KEAP STREET,KENT AVE,WYTHE AVE,BEDFORD AVENUE,DRIGGS AVENUE,ADDRESS,BROOKLYN,NORTH 10 STREET,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,01 BROOKLYN,34,Precinct 90,3023740019,BROOKLYN,997440,198885,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.712560296889997,-73.952421931839993,POINT (-73.952421931844 40.71256029689),0.089364085830383,0.000285673383682
506,3,row-8yxz.4kik-hwrr,rv-gady.m6h7-vken,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0103,South Williamsburg,SWllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),18250.2800908,1.412969583018401,67951627,02/11/2026 08:50:00 PM,02/11/2026 09:38:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),WC3,RESIDENTIAL BUILDING,11249,45C WILLIAMSBURG ST WEST,WILLIAMSBURG ST WEST,HEWES ST,WYTHE AVE,KENT AVENUE,HOOPER STREET,ADDRESS,BROOKLYN,FLUSHING AVENUE,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02/11/2026 09:38:00 PM,01 BROOKLYN,33,Precinct 90,3022030020,BROOKLYN,994886,194801,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.701354121279998,-73.961640996049994,POINT (-73.961640996051 40.701354121278),0.061803032061546,0.000150558761777
1525,4,row-qcbs_gztc_ygrg,rv-9tne-mmrz~t5xd,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0104,East Williamsburg,EWllmsbrg,0,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),43184.8003755,4.855847739564011,67980059,02/13/2026 03:08:00 PM,02/13/2026 03:30:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),WA2,RESIDENTIAL BUILDING,11211,792 METROPOLITAN AVENUE,METROPOLITAN AVENUE,HUMBOLDT ST,BUSHWICK AVE,MASPETH AVENUE,BUSHWICK AVENUE,INTERSECTION,BROOKLYN,BOERUM STREET,N/A,Open,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02/13/2026 03:30:00 PM,01 BROOKLYN,34,Precinct 94,3027660008,BROOKLYN,1000284,199799,PHONE,Unspecified,BROOKLYN,,,,,,,,40.715064311299997,-73.942161074889995,POINT (-73.942161074887 40.715064311304),0.138497115437962,0.000517491076271
449,5,row-97cj-vr4j.5jqt,rv-ucv6~gvar~a2pc,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0201,Brooklyn Heights,BkHts,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),14312.1922849,0.927372840866212,67974045,02/12/2026 11:24:51 AM,02/07/2026 12:35:00 PM,DOT,Department of Transportation,Street Condition,Defective Hardware,N/A,Street,11201,269 HENRY STREET,HENRY STREET,JORALEMON STREET,STATE STREET,JORALEMON STREET,STATE STREET,ADDRESS,BROOKLYN,HENRY STREET,N/A,In Progress,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/10/2026 12:00:00 AM,02 BROOKLYN,33,Precinct 84,3002630022,BROOKLYN,985516,191533,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.692390522700002,-73.995434752829993,POINT (-73.99543475283 40.692390522703),0.044413102281744,0.000098804716892
1146,6,row-uzr2.hf8y_src6,rv-9wzy_i5wk~zfva,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,DwntwnBk,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),30589.2394455,2.204742046343237,67987069,02/13/2026 05:17:00 PM,02/12/2026 01:50:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),WC3,Street,11217,319 SCHERMERHORN STREET,SCHERMERHORN STREET,NEVINS ST,3 AVE,BQE WESTBOUND ENTRANCE SANDS ST,BIKE PATH,ADDRESS,BROOKLYN,SANDS STREET,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,02 BROOKLYN,33,Precinct 84,3001677501,BROOKLYN,989361,189663,PHONE,Unspecified,BROOKLYN,,,,,,,,40.687256417910000,-73.981570946359994,POINT (-73.981570946357 40.687256417911),0.096348172986953,0.000234896995802
708,7,row-uucn-pny8_d7ni,rv-uqk2.5bw2~khh4,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0203,Fort Greene,FtGrn,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),23284.5901371,1.628943267366694,67988500,02/13/2026 02:44:00 PM,02/13/2026 02:56:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),WA2,RESIDENTIAL BUILDING,11217,96 FORT GREEN PLACE,FORT GREEN PLACE,LAFAYETTE AVE,HANSON PL,FORT GREEN PLACE,LAFAYETTE AVENUE,ADDRESS,BROOKLYN,FLEET PLACE,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02/13/2026 02:56:00 PM,02 BROOKLYN,35,Precinct 88,3021120034,BROOKLYN,990773,189433,PHONE,Unspecified,BROOKLYN,,,,,,,,40.686624192639997,-73.976479832189995,POINT (-73.976479832187 40.68662419264),0.074924833810085,0.000173540839553
853,8,row-zavp~vjjw_w7sd,rv-8ety_mtip-9qw9,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0204,Clinton Hill,ClntnHl,0,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),18102.9682007,1.353291215256829,67978674,02/13/2026 04:26:00 PM,02/12/2026 07:30:00 PM,DEP,Department of Environmental Protection,Sewer,Catch Basin Search (SC2),SC2,RESIDENTIAL BUILDING,11238,86 SAINT JAMES PLACE,SAINT JAMES PLACE,CLIFTON PL,GREENE AVE,GATES AVENUE,ST JAMES PLACE,INTERSECTION,BROOKLYN,DEKALB AVENUE,N/A,Open,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",02/12/2026 07:30:00 PM,02 BROOKLYN,35,Precinct 88,3019460039,BROOKLYN,994225,188721,PHONE,Unspecified,BROOKLYN,,,,,,,,40.684666698420003,-73.964033912220003,POINT (-73.96403391222 40.68466669842),0.054876905248038,0.000144169392525
19,9,row-3t7n.33gv~q8zu,rv-j2cp-fk2z-38v4,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0261,Brooklyn Navy Yard,BkNvyYrd,6,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),39415.6419363,0.938966663690258,67936098,02/11/2026 12:35:00 AM,02/12/2026 01:30:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),WA4,Street,11211,35 WILLIAMSBURG ST WEST,WILLIAMSBURG ST WEST,FLUSHING AVE,KENT AVE,FLUSHING AVENUE,WILLIAMSBURG ST WEST,ADDRESS,BROOKLYN,FLUSHING AVENUE,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",02/12/2026 01:30:00 AM,02 BROOKLYN,33,Precinct 88,3020230150,BROOKLYN,994571,193679,PHONE,Unspecified,BROOKLYN,,,,,,,,40.698274866669998,-73.962778770829999,POINT (-73.962778770828 40.698274866666),0.124518207568569,0.000100048525902
2631,10,row-n8p3.csnm~y3wc,rv-xbsi-x95y-kfuh,2025-11-24T21:27:53.701Z,2025-11-24T21:27:53.701Z,3,Brooklyn,047,BK0301,Bedford-Stuyvesant (West),BdSty_W,0,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),26307.6457389,3.428763021219105,67983776,02/13/2026 09:05:00 PM,02/13/2026 11:19:00 AM,DEP,Department of Environmental Protection,Water System,No Water (WNW),WNW,RESIDENTIAL BUILDING,11216,610 LAFAYETTE AVENUE,LAFAYETTE AVENUE,NOSTRAND AVE,MARCY AVE,MARCY AVENUE,HART STREET,ADDRESS,BROOKLYN,ATLANTIC AVENUE,N/A,Open,,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,02/13/2026 12:00:00 AM,03 BROOKLYN,36,Precinct 79,3017890018,BROOKLYN,997936,190648,PHONE,Unspecified,BROOKLYN,,,,,,,,40.689950910679997,-73.950649533949999,POINT (-73.950649533947 40.689950910681),0.082270453726697,0.000365274209052
