Join_Count,TARGET_FID,borocode,boroname,nta2020,ntaname,ntaabbrev,area_km2
1509,1,3,Brooklyn,BK0101,Greenpoint,Grnpt,2.09
1547,2,3,Brooklyn,BK0102,Williamsburg,Wllmsbrg,2.03
506,3,3,Brooklyn,BK0103,South Williamsburg,SWllmsbrg,1.30
1525,4,3,Brooklyn,BK0104,East Williamsburg,EWllmsbrg,3.12
449,5,3,Brooklyn,BK0201,Brooklyn Heights,BkHts,1.44
1146,6,3,Brooklyn,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,DwntwnBk,1.89
708,7,3,Brooklyn,BK0203,Fort Greene,FtGrn,1.67
853,8,3,Brooklyn,BK0204,Clinton Hill,ClntnHl,1.59
19,9,3,Brooklyn,BK0261,Brooklyn Navy Yard,BkNvyYrd,1.48
2631,10,3,Brooklyn,BK0301,Bedford-Stuyvesant (West),BdSty_W,2.15
2868,11,3,Brooklyn,BK0302,Bedford-Stuyvesant (East),BdSty_E,2.52
1957,12,3,Brooklyn,BK0401,Bushwick (West),Bshwck_W,2.15
2223,13,3,Brooklyn,BK0402,Bushwick (East),Bshwck_E,2.60
0,14,3,Brooklyn,BK0471,The Evergreens Cemetery,EvrgrnsCem,0.78
1265,15,3,Brooklyn,BK0501,Cypress Hills,CyprssHls,1.92
1541,16,3,Brooklyn,BK0502,East New York (North),ENY_N,2.48
2188,17,3,Brooklyn,BK0503,East New York-New Lots,ENY_NwLts,3.15
329,18,3,Brooklyn,BK0504,Spring Creek-Starrett City,SpCrk_StrC,0.97
1355,19,3,Brooklyn,BK0505,East New York-City Line,ENY_CtyLn,1.95
13,20,3,Brooklyn,BK0571,Highland Park-Cypress Hills Cemeteries (South),CyHlsCem_S,0.52
1898,21,3,Brooklyn,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,CrrllGrdns,1.64
1393,22,3,Brooklyn,BK0602,Park Slope,PkSlp,1.69
