ntaabbrev,alloc_incidents,mta_delay_per_km2
Grnpt,255.327522505593,77.854670561928
Wllmsbrg,543.0048689852576,202.69677579834624
SWllmsbrg,207.93765033968987,147.25320743020688
EWllmsbrg,591.4254020175251,121.86978872410936
BkHts,482.4438939095947,520.5504849151152
DwntwnBk,1991.689001735477,903.9259169830489
FtGrn,724.4868409151971,445.0324214844755
ClntnHl,214.15094320597734,158.3413742615058
BkNvyYrd,0.0,0.0
BdSty_W,570.728627006318,166.55425950341925
BdSty_E,460.57163422169174,120.13878840683975
Bshwck_W,271.8219323110317,126.54772249910147
Bshwck_E,476.67156219977653,183.78542214191776
EvrgrnsCem,1.6391692234515653,3.1607491612550147
CyprssHls,348.5653994387002,153.98872318882087
ENY_N,494.50354370484143,190.84370206415176
ENY_NwLts,678.5474316493297,157.30630450098135
SpCrk_StrC,0.0,0.0
ENY_CtyLn,117.83394519938977,40.2509587853429
CyHlsCem_S,23.182631214761724,30.820865393369374
CrrllGrdns,617.870013048536,109.43350568887259
PkSlp,1185.892391908268,494.45776714416996
WndsrTr,435.9793129035411,306.6644776342329
SnstPk_W,723.1095621587104,154.59578513070906
SnstPk_C,279.6528954925384,160.60559459622542
GrnWdCem,0.0,0.0
PrspctHts,266.86187245803745,278.8095095336745
CrwnHts_N,300.1732286387886,91.2847527010632
LclnTrPk,149.3194123551998,1324.0508648298955
CrwnHts_S,1089.020152572991,584.8836964490337
PLG_Wngt,314.5464510891802,140.93068975235244
ByRdg,130.16936978434023,22.74683604634682
DykrHts,0.0,0.0
FtHmltn,0.0,0.0
DykrBchPk,0.0,0.0
Bnsnhrst,656.967933094672,145.49132532763326
BthBch,16.48261427746614,8.636013197664383
Grvsnd_W,301.36714161899846,95.93323277607254
SnstPk_E,128.03749384688223,117.37385496485611
BoroPk,377.1097867247365,100.33513019623008
Knsngtn,177.67369965051407,109.53090767108938
Mpltn,191.75523851140014,65.86554745970642
Grvsnd_S,283.84977090432307,118.33348086711767
CnyIsl,404.2180745534686,91.48528702399048
BrghtnBch,195.21294487241107,155.0077207452335
ClvrtVxPk,0.0,0.0
Fltbsh,188.91302586404578,84.69297630041565
Fltbsh_W,335.26601746364247,157.65267723727646
Mdwd,365.5923884345934,122.21558566631599
Grvsnd_E,186.06261736029535,57.454213725802866
Mdsn,256.0121835067972,100.71058042739955
ShpshdBy,270.04595967132855,45.897046970691186
OcnHl,413.25952866691466,221.55163166007716
Brwnsvl,889.6812006042982,311.2479689213567
EFb_Ersms,277.1582320574354,150.98458950436407
EFb_Frrgt,105.35667168552033,47.041537428977286
EFb_Rgby,0.0,0.0
EFb_RmsnVl,149.47147328536266,87.53600257499369
HlyCrssCem,0.0,0.0
Fltlnds,0.0,0.0
MrnPk_MBsn,0.0,0.0
Cnrsie,34.912617445360176,5.331039785200567
MrnPk_PIsl,0.0,0.0
McGrFlds,0.0,0.0
CnrsiePk,0.0,0.0
PrspctPk,522.624872081711,205.97650029539275
BrrnIsl,0.0,0.0
JmcaBy_W,0.0,0.0
ShChshlmPk,0.0,0.0
MttHvn,821.9693126780023,216.05375092755474
Mlrs,342.59820343173175,213.6338358958018
HntsPt,143.92724007708836,34.42599963893999
Lngwd,471.2193947402933,329.6216101587574
BrthrIsls,0.0,0.0
Mrrsnia,0.0,0.0
ClrmntVlg,0.0,0.0
CrtnaPkEst,362.66250901252874,244.4427601607707
CrtnaPk,0.0,0.0
Cncrs,448.37055906758013,182.207168337057
Hghbrdg,54.27134167423861,44.79684012471456
MtEdn,256.8825184170345,203.31982827913419
YnkStdm,83.4331484834087,319.6638273145476
ClrmntPk,0.0,0.0
UnvrsHts_S,125.98532841436649,69.07871988085957
MtHp,235.26341247333826,199.79971268054103
FrdhmHts,179.53212818236102,262.03643717426155
WstFrms,325.85321705469636,299.92019171356316
Trmnt,0.0,0.0
Blmnt,0.0,0.0
UnvrsHts_N,126.61200693643467,74.46064729197674
BdfrdPk,359.79122643022214,157.8162979666994
Nrwd,117.95251403431968,80.80524873857742
KngbrdgHts,0.0,0.0
Kngbrdg,328.0762630415571,286.9765962863719
Rvrdl,0.0,0.0
Sdvw_BxRvr,356.27751818226454,119.13508423487215
Sdvw_ClsPt,0.0,0.0
CstlHl,153.14434772992638,50.13554134626871
Pkchstr,52.38950044164396,61.43400290519159
SdvwPk,0.0,0.0
WstchstrSq,231.42834086832252,162.03619940273666
ThrgsNck,0.0,0.0
PlhmBy,255.77970434588102,78.014632787086
CoopCty,0.0,0.0
HrtIsl,0.0,0.0
FrryPtPk,0.0,0.0
PlhmPkwy,193.94126313505512,133.99343790517014
MrrsPk,38.08702574083883,14.737515810761256
PlhmGrdns,80.66611161554017,28.8969929948486
Allrtn,208.08112340343263,142.25019063834986
HtchMtrCtr,100.0081413776664,88.41949353559257
Wllmsbrdg,389.57327089113033,115.7674772026642
Estchstr,119.83999111431949,22.8856230962074
Wkfld_Wdln,214.90898769013936,58.3792218380673
WdlnCem,0.0,0.0
VnCrtldtPk,24.333594035184614,5.1733303789058285
BxPk,0.0,0.0
PlhmByPk,0.0,0.0
FiDi,1149.5991487577598,643.9912795622505
TriBeCa,1292.3267159970596,1025.1016411602561
Btry_GvIsl,97.12983248266565,87.22852802403773
SoHo,1281.7732793860587,1068.7966420969444
GrnwchVlg,1199.4313512345936,1218.6730324765767
WstVlg,865.9595548806687,646.9409172036756
Chntwn,402.6540502540172,375.7559047738671
LES,487.3562929336653,318.647716535542
EstVlg,262.89723302270323,149.1484184858104
Chls_HdsYd,942.9862214265518,342.2936509465103
HllsKtchn,323.5774181013982,189.58895226240637
MdtwnSth,1491.5140670122144,1079.6626092179802
Mdtwn_TmSq,2628.815085935601,1153.1799668153994
StyTwn,27.384535066221968,52.89931854283826
Grmrcy,277.28189362980675,396.8183327285167
MryHl_KpBy,319.5331748225108,218.21544689091166
EstMdtwn,696.3606875547815,570.8649068490166
UN,9.603602954198907,94.78540016691836
UWS_LclnSq,590.3731974557367,402.50845445502034
UWS_C,775.5026898341254,328.6996933360198
UWS_MnVly,507.8291011584836,414.34245240779677
UES_LnxHl,881.3639259589204,441.49619048372443
UES_CrngHl,1440.7965637608788,773.3669214462661
UES_Yrkvl,640.3134083359092,505.4148859553082
MrngsdHts,265.2975086445308,179.4499297303606
Mnhttnvl,309.3983915959061,310.4217818962188
HmltnHts,555.3544204436711,374.2169119443015
Hrlm_S,622.1722633504327,464.4953006364687
Hrlm_N,581.1817818496705,263.08201363012637
EstHrlm_S,465.23518202261437,300.8727474976876
EstHrlm_N,584.7760268144815,241.13128622343936
RndllsIsl,0.0,0.0
WshHts_S,571.026318426529,292.47653089162316
WshHts_N,429.77567556018766,186.84541653784427
Inwd,291.5528726814549,217.5022760175879
HghbrdgPk,17.36447167483129,24.12691873633925
InwdHlPk,49.90901667881486,53.71191680345631
CntrlPk,1502.7034402713896,422.4393684293177
Astr_N,80.20257604798368,14.815918881936142
OldAstr,0.0,0.0
Astr_C,191.58921002059125,97.8644899786364
Astr_E,705.9993229430438,291.97894856841515
Qnsbrdg,737.67071615736,286.596733742272
RkrsIsl,0.0,0.0
SnnysdYd_N,326.0939024838062,780.4170187669292
StMchlCem,0.0,0.0
AstrPk,0.0,0.0
LIC,934.1144777536432,364.579917939286
Snnysd,296.23452357184686,66.88464842585022
Wdsd,559.8726972348445,183.00149604457874
SnnysdYd_S,44.489630711206445,54.55259772206998
ClvryCem,0.0,0.0
JcksnHts,184.8036841523162,50.62389728169426
EstElmhrst,0.0,0.0
NrthCrna,73.77005610612434,56.906838606431414
Elmhrst,1029.985531765228,263.4778755173063
Crna,146.42071315150446,65.63557928197595
Mspth,0.0,0.0
Rdgwd,229.44528787279467,58.077917757263116
Glndl,0.0,0.0
MddlVlg,0.0,0.0
MtOlvtCem,0.0,0.0
MddlVlgCem,0.0,0.0
StJhnCem,0.0,0.0
CyHlsCem_N,0.0,0.0
RegoPk,311.5188264330038,166.14634465141668
FrstHls,684.567159261239,127.21566338852426
CllgPt,0.0,0.0
Whtstn,0.0,0.0
ByTr_Clrvw,0.0,0.0
MryHl_BwyF,0.0,0.0
EstFlshng,0.0,0.0
QnsboroHl,0.0,0.0
Flshng,113.74620183836049,31.790552407813887
FtTttn,0.0,0.0
KssnPk,0.0,0.0
KwGrdnsHls,0.0,0.0
Pmnk_Hlcst,0.0,0.0
FrshMdws,0.0,0.0
JmcaEstts,66.32667962657062,18.124853967407176
JmcaHls,153.88422669238105,59.948666148300006
MtHbrnCem,0.0,0.0
CnnghmPk,0.0,0.0
KwGrdns,347.1613145585818,184.31794961994177
RchmdHl,343.39293585759265,122.17796609128442
SthRchmdHl,0.0,0.0
OznPk_N,8.84677836686424,5.267751117891791
Wdhvn,182.93757614176482,83.03592429328688
SthOznPk,126.19899636467534,16.607998780324042
OznPk,269.29478789516827,115.51374883836142
HwrdBch,91.6422509267607,18.762199609077605
SpCrkPk,0.0,0.0
Abrndl,0.0,0.0
Bysd,0.0,0.0
Dglstn,0.0,0.0
OklndGrdns,0.0,0.0
AllyPndPk,0.0,0.0
Jmca,612.1143843161738,140.77404384070582
SthJmca,0.0,0.0
BslyPk,0.0,0.0
SpfGrdns_N,0.0,0.0
StAlbns,0.0,0.0
Hlls,0.0,0.0
GlnOks,0.0,0.0
Bllrs,0.0,0.0
QnsVlg,0.0,0.0
CmbriaHts,0.0,0.0
Lrltn,0.0,0.0
SpfGrdns_S,0.0,0.0
Rsdl,0.0,0.0
MntfrCem,0.0,0.0
FrRckwy,150.47730875678502,26.79767556768862
RckwyBch,595.5609889138799,127.00551767072493
BrzyPt,305.59206899924766,47.5387118662516
RckwyCPk,0.0,0.0
LGA,0.0,0.0
FlshMdwCPk,190.20088152253592,37.10419392862467
FrstPk,0.0,0.0
JFK,67.22529014329328,3.6715764333077
JmcaBy_E,375.49121834532207,57.83717149244163
JcbRsPk,0.0,0.0
StGrg,0.0,0.0
Tkvl_Stptn,0.0,0.0
Rsbnk_PkHl,0.0,0.0
WstNwBrgtn,0.0,0.0
Wstrlgh,0.0,0.0
PrtRchmnd,0.0,0.0
MrnrsHrbr,0.0,0.0
SngHrbr,0.0,0.0
Grsmr_SBch,0.0,0.0
NwDrp_MBch,0.0,0.0
TdtHl,0.0,0.0
NwSprngvl,0.0,0.0
FrshklPk_N,0.0,0.0
Okwd_Rmtwn,0.0,0.0
GrtKls_Evl,0.0,0.0
ArdnHts,0.0,0.0
Anndl_Wdrw,0.0,0.0
Tttnvl,0.0,0.0
FrshklPK_S,0.0,0.0
FtWdswrth,0.0,0.0
HffmnIsl,0.0,0.0
MllrFld,0.0,0.0
GrtKlsPk,0.0,0.0
