NTACode,NTAName,area_km2,svc_311_density
BK0101,Greenpoint,3.281529921409245,805.7217405668332
BK0102,Williamsburg,2.680535764498503,1309.812779407876
BK0103,South Williamsburg,1.412969583018401,513.1037558864127
BK0104,East Williamsburg,4.855847739564011,549.85249604217
BK0201,Brooklyn Heights,0.927372840866212,732.1758521262932
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,2.204742046343237,959.7494652535777
BK0203,Fort Greene,1.628943267366694,838.5804633995873
BK0204,Clinton Hill,1.353291215256829,1224.4223425964772
BK0261,Brooklyn Navy Yard,0.938966663690258,20.235010181647546
BK0301,Bedford-Stuyvesant (West),3.428763021219105,1651.6160390654547
BK0302,Bedford-Stuyvesant (East),3.835962356102785,1771.654507815483
BK0401,Bushwick (West),2.149263169670636,1715.9369090036412
BK0402,Bushwick (East),2.595167611431207,1652.3017554288965
BK0471,The Evergreens Cemetery,0.518902182398902,0.0
BK0501,Cypress Hills,2.264891331251382,853.0210581593533
BK0502,East New York (North),2.592655734546124,1146.3149389250805
BK0503,East New York-New Lots,4.316056440646436,1109.5777049854169
BK0504,Spring Creek-Starrett City,2.516410438029322,373.5479657031397
BK0505,East New York-City Line,2.929162566314726,1240.6276257217273
BK0571,Highland Park-Cypress Hills Cemeteries (South),0.752605749078727,17.273320082810216
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,5.649602279953843,528.7097838017022
BK0602,Park Slope,2.399850112541115,1361.751712293245
BK0701,Windsor Terrace-South Slope,1.422559194821427,918.0637296179028
BK0702,Sunset Park (West),4.680359190115616,535.4289912817773
BK0703,Sunset Park (Central),1.742330583178676,825.3313199476412
BK0771,Green-Wood Cemetery,1.960408701024844,14.282736036298157
BK0801,Prospect Heights,0.957734334080136,2345.1179727801964
BK0802,Crown Heights (North),3.290302175257139,3053.518936817656
BK0891,Lincoln Terrace Park,0.112841967575641,53.17170667002097
BK0901,Crown Heights (South),1.863069174592342,3012.770581225563
BK0902,Prospect Lefferts Gardens-Wingate,2.233274655731437,2675.4434277332907
BK1001,Bay Ridge,5.726157576488246,874.9322618314228
BK1002,Dyker Heights,2.705246227082061,389.2436812067156
BK1061,Fort Hamilton,0.786398057351564,6.358103193742656
BK1091,Dyker Beach Park,0.928009408132604,17.24120451773884
BK1101,Bensonhurst,4.518319252560057,833.7170946620553
BK1102,Bath Beach,1.909786642624276,856.6401939810091
BK1103,Gravesend (West),3.143370453380542,602.2198236177255
BK1201,Sunset Park (East)-Borough Park (West),1.091532339416656,852.9293786179081
BK1202,Borough Park,3.760835200968727,643.208189334355
BK1203,Kensington,1.62313140862152,1578.4304255290301
BK1204,Mapleton-Midwood (West),2.913102889181429,656.3448229380133
BK1301,Gravesend (South),2.400206505104639,299.1409274464483
BK1302,Coney Island-Sea Gate,4.421130609978991,425.90915449316435
BK1303,Brighton Beach,1.260143388347968,1144.3142211700556
BK1391,Calvert Vaux Park,0.39225871234106,2.54933789496184
BK1401,Flatbush,2.231920519356411,4554.373648991384
BK1402,Flatbush (West)-Ditmas Park-Parkville,2.12791308108002,1751.0113703088252
BK1403,Midwood,2.993192195868472,1070.4290905283356
BK1501,Gravesend (East)-Homecrest,3.240431268562889,640.9640655396887
BK1502,Madison,2.543596938619133,820.8847747448276
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,5.887278766406183,563.9277723596997
BK1601,Ocean Hill,1.866402265045356,1887.5887936807592
BK1602,Brownsville,2.860121688287184,1286.3089060393127
BK1701,East Flatbush-Erasmus,1.836784598307014,3404.8630447818355
BK1702,East Flatbush-Farragut,2.24099941013811,1135.207795455518
BK1703,East Flatbush-Rugby,2.527450561203353,1147.401276414788
BK1704,East Flatbush-Remsen Village,1.708558797489589,2341.1544313706145
BK1771,Holy Cross Cemetery,0.39730754396463,10.067767553782208
BK1801,Flatlands,5.048084684212651,603.0009776816515
BK1802,Marine Park-Mill Basin-Bergen Beach,5.469318441597257,278.64532231459026
BK1803,Canarsie,6.552781866946321,437.52410170431295
BK1891,Marine Park-Plumb Island,4.042143326211217,5.195263578069045
BK1892,McGuire Fields,0.98380196641436,10.164647298324445
BK1893,Canarsie Park & Pier,1.073225119949572,13.044793435936185
BK5591,Prospect Park,2.538859631873218,25.208167949316522
BK5691,Barren Island-Floyd Bennett Field,5.079594169026062,2.1655273303278655
BK5692,Jamaica Bay (West),3.693157969741982,0.0
BK5693,Shirley Chisholm State Park,1.698705817132086,0.0
BX0101,Mott Haven-Port Morris,3.806730200512186,1686.2240458061199
BX0102,Melrose,1.604621725629836,3169.5943777675548
BX0201,Hunts Point,4.183205207764383,547.4271249590066
BX0202,Longwood,1.430416115718412,3814.274699540685
BX0291,North & South Brother Islands,0.086461200041585,0.0
BX0301,Morrisania,1.283127956409124,4104.8127536242555
BX0302,Claremont Village-Claremont (East),0.928889737240658,2356.5767951130574
BX0303,Crotona Park East,1.484496601729943,2824.5265062336484
BX0391,Crotona Park,0.588989195941252,37.352128276041185
BX0401,Concourse-Concourse Village,2.46224174832214,4656.732023901936
BX0402,Highbridge,1.212225159939162,6024.458360826726
BX0403,Mount Eden-Claremont (West),1.264191226139884,6459.465807980876
BX0491,Yankee Stadium-Macombs Dam Park,0.261159355553148,122.53055201573181
BX0492,Claremont Park,0.172998835284705,254.33697242868135
BX0501,University Heights (South)-Morris Heights,1.824878331260755,4398.649412673107
BX0502,Mount Hope,1.17819119354892,6970.0062646572715
BX0503,Fordham Heights,0.685545154017706,8925.743204716697
BX0601,West Farms,1.087096794202582,2774.3619667394255
BX0602,Tremont,1.470608867745595,3334.6732143113645
BX0603,Belmont,1.523069677319835,4265.727364116955
BX0701,University Heights (North)-Fordham,1.701392298219117,4777.85165038586
BX0702,Bedford Park,2.281144572140688,4388.586379952852
BX0703,Norwood,1.460561799818293,4980.275398757486
BX0801,Kingsbridge Heights-Van Cortlandt Village,1.019163364917728,5647.769727736096
BX0802,Kingsbridge-Marble Hill,1.143891602214102,3175.1260285239855
BX0803,Riverdale-Spuyten Duyvil,5.851398934540365,614.5538939027186
BX0901,Soundview-Bruckner-Bronx River,2.992262004161887,2396.1805450282654
BX0902,Soundview-Clason Point,2.817197473666194,632.1885549905289
BX0903,Castle Hill-Unionport,3.05634234490249,888.3167177028462
BX0904,Parkchester,0.853265004412157,3711.6253258058473
BX0991,Soundview Park,0.724135384048208,27.619144762947446
BX1001,Westchester Square,1.429060902839788,1063.6355644322089
BX1002,Throgs Neck-Schuylerville,6.176028301341723,267.48582088607145
BX1003,Pelham Bay-Country Club-City Island,3.280425011118143,702.6528550988988
BX1004,Co-op City,2.699384818372543,148.55236543923465
BX1071,Hart Island,0.45570992685157,0.0
BX1091,Ferry Point Park-St. Raymond Cemetery,2.020254610381794,6.92981960197296
BX1101,Pelham Parkway-Van Nest,1.448225723143156,3537.431988765743
BX1102,Morris Park,2.585830652615846,687.9800880233012
BX1103,Pelham Gardens,2.793089063000243,292.8657058723834
BX1104,Allerton,1.463623595211902,2946.7958934999047
BX1161,Hutchinson Metro Center,1.131702736298067,26.508727988176062
BX1201,Williamsbridge-Olinville,3.367062833680708,2654.539116583523
BX1202,Eastchester-Edenwald-Baychester,5.239427736236205,666.6758615339222
