NTACode,NTAName,baseline_stress,event_stress,delta
MN0502,Midtown-Times Square,-0.0046484390267581,3.0396792611568757,3.0443277001836337
MN0501,Midtown South-Flatiron-Union Square,0.1686907949807981,2.8554460986137955,2.6867553036329976
MN0102,Tribeca-Civic Center,-0.2532591561663402,2.16070656313571,2.41396571930205
MN0101,Financial District-Battery Park City,-0.2266911650873266,1.7990442233020498,2.0257353883893763
BK0901,Crown Heights (South),1.1659430902592167,2.7946402401834574,1.6286971499242406
MN0202,Greenwich Village,0.1639560841479863,1.7533775598993793,1.589421475751393
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,-0.035959153655863,1.3143135112360476,1.3502726648919106
BK0203,Fort Greene,-0.1370586410176401,1.2118174528332915,1.3488760938509317
BX0503,Fordham Heights,4.963689244957327,6.132126464577371,1.1684372196200439
MN0701,Upper West Side-Lincoln Square,0.0814775978184627,1.2242132635249157,1.142735665706453
MN0201,SoHo-Little Italy-Hudson Square,0.3285116466638047,1.4437782242651587,1.115266577601354
BK0201,Brooklyn Heights,-0.1593607524649791,0.8846298858296877,1.0439906382946669
MN0802,Upper East Side-Carnegie Hill,-0.0124589981742512,0.7080894263877768,0.7205484245620281
BK0701,Windsor Terrace-South Slope,-0.0695211701251698,0.6267296631663214,0.6962508332914912
MN0203,West Village,0.2612244596793166,0.8962740982349297,0.635049638555613
BK0103,South Williamsburg,-0.3272261319700807,0.305678205747402,0.6329043377174828
BX1001,Westchester Square,-0.0264262435874778,0.5821777235878733,0.6086039671753511
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,-0.3319209255205656,0.2507583600566198,0.5826792855771854
MN6491,Central Park,-0.7187292461117208,-0.15411149273277353,0.5646177533789474
MN0604,East Midtown-Turtle Bay,0.4705349717731542,1.0048108938514535,0.5342759220782993
BK1204,Mapleton-Midwood (West),-0.2992216005562595,0.2266592890519444,0.5258808896082039
QN1002,Ozone Park,-0.3824441885032824,0.1222024791935562,0.5046466676968386
QN0201,Long Island City-Hunters Point,-0.282771347470407,0.2193025848133922,0.5020739322837993
QN1402,Rockaway Beach-Arverne-Edgemere,-0.4182417067514543,0.05278224916627838,0.47102395591773266
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,-0.6255133217193787,-0.15752249058941617,0.46799083112996254
QN1201,Jamaica,-0.0545234922878481,0.4116867262404,0.46621021852824807
MN0302,Lower East Side,0.0410367767525204,0.5058723125747006,0.4648355358221802
MN0401,Chelsea-Hudson Yards,-0.1034281056487965,0.3328195062659408,0.4362476119147373
BK1302,Coney Island-Sea Gate,-0.4536095503007851,-0.04736562578261522,0.4062439245181699
QN0203,Woodside,-0.2734997426682699,0.1221946979524812,0.3956944406207511
BX1003,Pelham Bay-Country Club-City Island,-0.2903241744854342,0.10254222702201225,0.39286640150744645
BK0402,Bushwick (East),0.4617227882428543,0.8446780008386754,0.3829552125958211
BK5591,Prospect Park,-0.729402751055574,-0.3732904519092736,0.3561122991463003
QN1204,Springfield Gardens (North)-Rochdale Village,-0.4461107904208544,-0.09605680836126915,0.35005398205958527
BK0702,Sunset Park (West),-0.3440811084702159,0.00470795403080837,0.34878906250102426
BK1101,Bensonhurst,-0.1966763687821365,0.1459571944799526,0.3426335632620891
QN8191,Flushing Meadows-Corona Park,-0.7314069158296688,-0.39332896743952905,0.3380779483901397
BK0204,Clinton Hill,0.1445118900647787,0.4823769588060224,0.33786506874124367
QN0151,Rikers Island,-0.7512142009451653,-0.4228228367823639,0.32839136416280146
BX0101,Mott Haven-Port Morris,0.3786773275924806,0.7009461144232698,0.32226878683078924
MN0901,Morningside Heights,-0.136720387942146,0.17991245917306053,0.31663284711520656
QN0801,Kew Gardens Hills,-0.2797844670382565,0.01700792954055652,0.296792396578813
BK0501,Cypress Hills,-0.0641797765368805,0.2127012174782478,0.27688099401512833
QN0161,Sunnyside Yards (North),-0.6079967114660667,-0.34635498389792574,0.26164172756814097
BX1202,Eastchester-Edenwald-Baychester,-0.2489797082013742,0.002543011421778013,0.2515227196231522
BK1301,Gravesend (South),-0.5344138362318989,-0.28298430803207203,0.25142952819982683
QN0105,Queensbridge-Ravenswood-Dutch Kills,-0.359414215269922,-0.11865731524356415,0.24075690002635786
QN8381,John F. Kennedy International Airport,-0.7527204689222425,-0.5215830005532145,0.23113746836902804
BX0291,North & South Brother Islands,-0.7540218240157087,-0.5251826596803442,0.22883916433536455
QN0871,Mount Hebron & Cedar Grove Cemeteries,-0.7540218240157087,-0.5251826606198373,0.2288391633958714
BK0471,The Evergreens Cemetery,-0.7540218240157087,-0.5251826613479207,0.22883916266778803
SI9591,Hoffman & Swinburne Islands,-0.7540218240157087,-0.52518266145755,0.22883916255815873
BK5693,Shirley Chisholm State Park,-0.7540218240157087,-0.525182661624049,0.2288391623916597
BK5692,Jamaica Bay (West),-0.7540218240157087,-0.5251826616276519,0.2288391623880568
BX1071,Hart Island,-0.7540218240157087,-0.5251826616437709,0.2288391623719378
