NTACode,NTAName,incident_count,area_km2,mob_mta_delay_density
BK0101,Greenpoint,256.0952380952381,3.2795402126437785,78.08876290276943
BK0102,Williamsburg,322.54761904761904,2.67890217871065,120.40291042014103
BK0103,South Williamsburg,412.22539682539684,1.4121094811348254,291.92169752597135
BK0104,East Williamsburg,659.1365079365079,4.852928754610701,135.82241596072708
BK0201,Brooklyn Heights,494.5931372549019,0.9267955899964931,533.6593555184842
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,1895.7081253575166,2.2033763669300375,860.3650986775378
BK0203,Fort Greene,1275.6249363243276,1.6279417138435213,783.5814547147487
BK0204,Clinton Hill,324.3952380952381,1.3524635829606129,239.85506314714965
BK0261,Brooklyn Navy Yard,0.0,0.9383896969334601,0.0
BK0301,Bedford-Stuyvesant (West),602.7906926406927,3.426682864107859,175.910849222293
BK0302,Bedford-Stuyvesant (East),464.2732323232323,3.8336630516736703,121.10433965252726
BK0401,Bushwick (West),394.81111111111113,2.1479796470688624,183.80579706603422
BK0402,Bushwick (East),601.5722222222222,2.5936309722785995,231.94210304086516
BK0471,The Evergreens Cemetery,0.0,0.5186015460904435,0.0
BK0501,Cypress Hills,432.71666666666664,2.26357744666779,191.16494878656277
BK0502,East New York (North),469.8833333333333,2.591144158054146,181.3420267925959
BK0503,East New York-New Lots,375.2794117647059,4.31354251372387,87.00028122377962
BK0504,Spring Creek-Starrett City,0.0,2.514956113351522,0.0
BK0505,East New York-City Line,291.8909090909091,2.9274816838357935,99.70716834971037
BK0571,Highland Park-Cypress Hills Cemeteries (South),0.0,0.7521732683710594,0.0
BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,749.5428571428571,5.646077119629441,132.75462613448158
BK0602,Park Slope,1136.3124649859944,2.3983693900447207,473.78542675813856
BK0701,Windsor Terrace-South Slope,499.6952380952381,1.4216817238784711,351.48179068661454
BK0702,Sunset Park (West),822.5809523809523,4.677420937105297,175.8620751567467
BK0703,Sunset Park (Central),188.10714285714283,1.7412400620024489,108.03056221944328
BK0771,Green-Wood Cemetery,0.0,1.9591908011337806,0.0
BK0801,Prospect Heights,202.0465983224604,0.9571476616504924,211.0924013271411
BK0802,Crown Heights (North),30.0,3.2883172682921153,9.123207267521781
BK0891,Lincoln Terrace Park,0.0,0.11277467982647196,0.0
BK0901,Crown Heights (South),1092.5836601307187,1.8619430906850367,586.79755874211
BK0902,Prospect Lefferts Gardens-Wingate,711.961321913046,2.2319230211817143,318.9900884377683
BK1001,Bay Ridge,223.91111111111113,5.722526722548151,39.128014942917915
BK1002,Dyker Heights,0.0,2.703549032446913,0.0
BK1061,Fort Hamilton,0.0,0.7858991830552289,0.0
BK1091,Dyker Beach Park,0.0,0.9274246462163851,0.0
BK1101,Bensonhurst,1304.9285714285713,4.515512740126351,288.9879060316985
BK1102,Bath Beach,0.0,1.9085906772266799,0.0
BK1103,Gravesend (West),597.2142857142857,3.141425894844182,190.10930249682303
BK1201,Sunset Park (East)-Borough Park (West),221.0,1.090851909782154,202.59395250463857
BK1202,Borough Park,409.10714285714283,3.7585020041576898,108.8484567534046
BK1203,Kensington,371.64761904761906,1.6221329856908924,229.1104504538069
BK1204,Mapleton-Midwood (West),487.20000000000005,2.9113132107767057,167.3471607920951
BK1301,Gravesend (South),232.3,2.3987274676985932,96.84301494361725
BK1302,Coney Island-Sea Gate,951.9381773399014,4.418394341893762,215.44889470682517
BK1303,Brighton Beach,346.0121155638397,1.2593756229294202,274.74893849301657
BK1391,Calvert Vaux Park,0.0,0.39201536551187344,0.0
BK1401,Flatbush,182.97460317460317,2.230563077555939,82.03067871772143
BK1402,Flatbush (West)-Ditmas Park-Parkville,813.8242311276795,2.12661165596367,382.6858697240125
BK1403,Midwood,431.8965517241379,2.9913728796644268,144.3807138388539
BK1501,Gravesend (East)-Homecrest,431.70714285714286,3.238450329305475,133.30670504670908
BK1502,Madison,346.0121155638397,2.542058465160737,136.1149321724829
BK1503,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,346.0121155638397,5.883732777922754,58.808264859030345
BK1601,Ocean Hill,400.5621212121212,1.8652967050073386,214.74445332842922
BK1602,Brownsville,662.4558823529412,2.858432148769931,231.7549789096851
BK1701,East Flatbush-Erasmus,365.94920634920635,1.8356723223694718,199.3543193356219
BK1702,East Flatbush-Farragut,182.97460317460317,2.2396519638538006,81.69778435563542
BK1703,East Flatbush-Rugby,0.0,2.525938538263872,0.0
BK1704,East Flatbush-Remsen Village,0.0,1.7075428268194643,0.0
BK1771,Holy Cross Cemetery,0.0,0.3970685323756089,0.0
BK1801,Flatlands,0.0,5.045063843525477,0.0
BK1802,Marine Park-Mill Basin-Bergen Beach,0.0,5.466072379090961,0.0
BK1803,Canarsie,97.25,6.5489320522065775,14.849749428570247
BK1891,Marine Park-Plumb Island,0.0,4.039754041815146,0.0
BK1892,McGuire Fields,0.0,0.9832259498750301,0.0
BK1893,Canarsie Park & Pier,0.0,1.072599061191761,0.0
BK5591,Prospect Park,209.96218487394958,2.5373035030903592,82.75012611546943
BK5691,Barren Island-Floyd Bennett Field,0.0,5.076621091993046,0.0
BK5692,Jamaica Bay (West),0.0,3.6910590686173825,0.0
BK5693,Shirley Chisholm State Park,0.0,1.6977314361953326,0.0
BX0101,Mott Haven-Port Morris,1172.802589807853,3.8044667620169474,308.2699004015188
BX0102,Melrose,548.9238095238095,1.6036701395880189,342.2922183141899
BX0201,Hunts Point,0.0,4.180770750057094,0.0
BX0202,Longwood,964.1597326649958,1.429576764223444,674.4371878405102
BX0291,North & South Brother Islands,0.0,0.08641051166064874,0.0
BX0301,Morrisania,0.0,1.282371254170669,0.0
BX0302,Claremont Village-Claremont (East),0.0,0.9283415773190439,0.0
BX0303,Crotona Park East,365.94920634920635,1.4836303831777162,246.65793481891185
BX0391,Crotona Park,0.0,0.5886440713209099,0.0
BX0401,Concourse-Concourse Village,500.12644787644786,2.460773432988438,203.2395348437581
BX0402,Highbridge,0.0,1.2115815435782702,0.0
BX0403,Mount Eden-Claremont (West),494.5096525096525,1.2634405635253319,391.3992211314162
BX0491,Yankee Stadium-Macombs Dam Park,162.9642857142857,0.2610027767367837,624.3775938009735
BX0492,Claremont Park,0.0,0.17289655884070712,0.0
BX0501,University Heights (South)-Morris Heights,325.9285714285714,1.823315642709675,178.75597828152277
BX0502,Mount Hope,337.1621621621622,1.1774962502053974,286.3382045618821
BX0503,Fordham Heights,500.12644787644786,0.6851418456089662,729.9604469960912
BX0601,West Farms,548.9238095238095,1.0864664202601868,505.237713092277
BX0602,Tremont,0.0,1.469748639935549,0.0
BX0603,Belmont,0.0,1.5221816352991622,0.0
BX0701,University Heights (North)-Fordham,162.9642857142857,1.7007839661604354,95.81715782644746
